,Field,ID,RA,DEC,X,Y,ISOarea,MU_MAX,A,B,THETA,ELONGATION,ELLIPTICITY,PhotoFlagDet,CLASS_STAR,FWHM,U_auto,e_U_auto,F378_auto,e_F378_auto,F395_auto,e_F395_auto,F410_auto,e_F410_auto,F430_auto,e_F430_auto,G_auto,e_G_auto,F515_auto,e_F515_auto,R_auto,e_R_auto,F660_auto,e_F660_auto,I_auto,e_I_auto,F861_auto,e_F861_auto,Z_auto,e_Z_auto,nDet_auto,U_aper_3,e_U_aper_3,F378_aper_3,e_F378_aper_3,F395_aper_3,e_F395_aper_3,F410_aper_3,e_F410_aper_3,F430_aper_3,e_F430_aper_3,G_aper_3,e_G_aper_3,F515_aper_3,e_F515_aper_3,R_aper_3,e_R_aper_3,F660_aper_3,e_F660_aper_3,I_aper_3,e_I_aper_3,F861_aper_3,e_F861_aper_3,Z_aper_3,e_Z_aper_3,U_PStotal,e_U_PStotal,F378_PStotal,e_F378_PStotal,F395_PStotal,e_F395_PStotal,F410_PStotal,e_F410_PStotal,F430_PStotal,e_F430_PStotal,G_PStotal,e_G_PStotal,F515_PStotal,e_F515_PStotal,R_PStotal,e_R_PStotal,F660_PStotal,e_F660_PStotal,I_PStotal,e_I_PStotal,F861_PStotal,e_F861_PStotal,Z_PStotal,e_Z_PStotal,U_petro,F378_petro,F395_petro,F410_petro,F430_petro,G_petro,F515_petro,R_petro,F660_petro,I_petro,F861_petro,Z_petro,e_U_petro,e_F378_petro,e_F395_petro,e_F410_petro,e_F430_petro,e_G_petro,e_F515_petro,e_R_petro,e_F660_petro,e_I_petro,e_F861_petro,e_Z_petro
222,SPLUS-s32s39,iDR3.SPLUS-s32s39.014592,67.38527593034928,-41.77350616805376,8792.811,3363.9893,27,17.120307999999998,1.6020869,1.2834601,4.1553097,1.2482561,0.19888234,3,0.17496689,5.319351,21.129538,0.18336843,20.205238,0.14537278,20.13556,0.24420618,20.298443,0.25089120000000004,21.112644,0.5223224,20.257587,0.07686573,19.295932999999998,0.08016269,20.252623,0.07493150000000001,18.997551,0.02958999,20.27563,0.12438686,20.436657,0.3273747,19.811789,0.1689342,12.0,21.411476,0.12892233,20.436989999999998,0.10119358,20.626585000000002,0.20445092,20.796753,0.21011369,21.206963000000002,0.29935914,20.484607999999998,0.05402234,19.532405999999998,0.058802452000000005,20.478065,0.051370915,19.192945,0.022666346,20.571003,0.08560989,20.564905,0.19037993,20.126572,0.11622583,20.781097,0.12892233,19.803404,0.10119358,20.031832,0.20445092,20.302801000000002,0.21011369,20.765566,0.29935914,20.086275,0.05402234,19.097637,0.058802452000000005,20.036234,0.051370915,18.771378,0.022666346,20.194689,0.08560989,20.173555,0.19037993,19.778112,0.11622583,21.169209,20.084446,19.216005,20.05695,21.218647,20.544207,19.24504,20.459265,19.049475,20.025055,20.2843,19.374261999999998,0.47521904,0.32015570000000004,0.26377067,0.5103252,1.4833322,0.24639393,0.184924,0.22654112,0.0712914,0.25472984,0.7398614,0.29360282
223,SPLUS-s32s38,iDR3.SPLUS-s32s38.022316,65.52998581305012,-41.43215639954278,9125.514000000001,5595.746999999999,65,16.259892,4.2935085,3.0788298,-28.179878000000002,1.3945261,0.28291053,3,0.7891363,5.8073505999999995,20.466573999999998,0.4035789,20.83305,1.0499068,20.31632,1.188976,99.0,20.605204,19.754292,0.6189682,19.137434,0.10847812,18.907610000000002,0.21635257,18.387709,0.055614844000000004,17.409363,0.026084432,18.253992,0.076761514,17.56118,0.09842838,17.985224,0.11789086,11.0,22.187898999999998,0.2703773,22.027004,0.42826763,21.975039000000002,0.7343761999999999,22.458467000000002,1.0120890999999999,21.912735,0.60592055,20.738802,0.070810005,20.382135,0.12280612,19.675085,0.029946506,18.61779,0.016549852,19.55939,0.037724793,18.881629999999998,0.048442148,19.197498,0.050293385999999995,21.458918,0.2703773,21.362581,0.42826763,21.346767,0.7343761999999999,21.877434,1.0120890999999999,21.351357,0.60592055,20.226063,0.070810005,19.834095,0.12280612,19.103783,0.029946506,18.006424,0.016549852,19.095407,0.037724793,18.44941,0.048442148,18.744781,0.050293385999999995,20.759064000000002,20.77779,22.201970000000003,21.637905,19.548920000000003,19.228115,18.901072,18.398232999999998,17.43864,18.311076999999997,17.654329999999998,17.968529,0.48128143,0.90974355,6.143185,3.3037447999999996,0.47450763,0.1091799,0.19921947,0.051684543,0.02474739,0.07478176,0.09880576,0.106971145
224,SPLUS-s32s38,iDR3.SPLUS-s32s38.028380,67.17395515647175,-41.22569298818909,1043.5863,6939.409000000001,74,14.548531,3.5278902000000003,2.716043,-63.726303,1.2989081,0.23012257,2,0.9403792999999999,4.319968,18.926070000000003,0.05791328,18.47241,0.07083234,17.868795000000002,0.07430740400000001,17.66113,0.05508519,17.436672,0.044510543,18.820646,0.047228742000000004,17.159876,0.027183821,18.09494,0.024992866000000002,16.60296,0.0084236665,18.010147,0.035135496,16.33925,0.01903732,17.231693,0.03371556,12.0,20.607845,0.07189683,20.275707,0.09637622,19.944021,0.12630983,19.10335,0.05888513,19.070873000000002,0.056294847,19.419926,0.02623985,18.348124,0.027380629,18.605601999999998,0.014193533999999999,17.761417,0.009887099,18.454468,0.015920801000000002,17.370085,0.015166706,17.65225,0.014178521999999999,19.878864,0.07189683,19.611284,0.09637622,19.31575,0.12630983,18.522316,0.05888513,18.509495,0.056294847,18.907188,0.02623985,17.800082999999997,0.027380629,18.0343,0.014193533999999999,17.150051,0.009887099,17.990485999999997,0.015920801000000002,16.937862,0.015166706,17.199533,0.014178521999999999,19.167385,18.803117999999998,18.291187,17.891614999999998,17.667185,18.982374,17.24925,18.234758,16.6882,18.092657,16.395319,17.380388,0.051791575,0.068298854,0.07759847,0.049644365999999995,0.040397316,0.0397466,0.022515657999999997,0.02066899,0.007290578000000001,0.02715469,0.014776763500000002,0.027449487
225,SPLUS-s32s39,iDR3.SPLUS-s32s39.014648,67.3871734392093,-41.77175485155893,8783.636999999999,3375.5254,33,17.640774,2.1729949,1.436777,-49.238934,1.5124093,0.3388033,3,0.00033513057999999996,8.127879,20.852632999999997,0.1748666,20.275524,0.18787278,20.347996,0.36132836,20.668974,0.42925885,21.048433,0.6065887,20.212608,0.08945226,19.695107,0.13655727,20.062239,0.07699008,19.38757,0.048528805,20.104294,0.1309167,19.958382,0.26091766,19.771015,0.20080838,12.0,21.504246,0.13880895,20.905144,0.14740549,21.327997,0.372985,21.324703,0.330635,20.941631,0.23687929999999996,20.86438,0.072794445,20.588661,0.1349608,20.717505,0.062188797000000004,19.899559,0.037309524,20.798828,0.10413194,20.451956,0.17144652,20.445736,0.15423656,20.873867,0.13880895,20.271557,0.14740549,20.733244,0.372985,20.830751,0.330635,20.500235,0.23687929999999996,20.466047,0.072794445,20.153893,0.1349608,20.275673,0.062188797000000004,19.477991,0.037309524,20.422514000000003,0.10413194,20.060606,0.17144652,20.097277,0.15423656,20.877695000000003,20.267504000000002,20.533732999999998,20.682985000000002,20.9364,20.187668,19.705772,20.034693,19.377539000000002,20.12595,19.95521,19.812557,0.13129377,0.13746612,0.3099588,0.3181292,0.39959404,0.06570995,0.10318597,0.05623874,0.036955863,0.09796106,0.18996474,0.15191758
226,SPLUS-s32s39,iDR3.SPLUS-s32s39.014699,67.39145014555153,-41.76979787637345,8762.857,3388.498,48,17.726098999999998,2.9669377999999997,1.5063571000000002,-45.679928000000004,1.9696112000000001,0.4922856,3,0.00028340047,12.672305999999999,20.757261,0.20281823,19.938313,0.17523333,19.508326999999998,0.2148228,20.190523000000002,0.35333407,19.992504,0.29551685,19.886442000000002,0.08412299,19.606667,0.15881675,19.763298000000002,0.07425197,19.085136,0.04636641,19.663116,0.11147761,19.68417,0.25892082,19.43675,0.18870904,12.0,21.535091,0.14274172,20.845354,0.14059171,20.823524,0.24137665,21.786688,0.49867925,20.96067,0.24134134,20.851082,0.07215582,20.567162,0.1328463,20.72241,0.062565185,20.061497,0.04221654,20.664707,0.09277613,20.630661,0.20158626,20.438314000000002,0.15358512,20.904713,0.14274172,20.211767000000002,0.14059171,20.228771,0.24137665,21.292735999999998,0.49867925,20.519274,0.24134134,20.45275,0.07215582,20.132393,0.1328463,20.280579,0.062565185,19.639929000000002,0.04221654,20.288393,0.09277613,20.239310999999997,0.20158626,20.089855,0.15358512,20.34893,19.492082999999997,18.323866,19.132742,19.523277,19.270182000000002,19.014713,19.216445999999998,18.649225,19.098043,18.626072,18.827686,0.32901052,0.2728982,0.1710484,0.3212578,0.45989220000000003,0.11276209,0.21903078,0.10659745,0.0720963,0.1599112,0.23718028,0.2614493
227,SPLUS-s27s43,iDR3.SPLUS-s27s43.041709,69.83042887612186,-34.50507795866411,1242.6498,7884.2544,16,17.28014,1.5494048999999999,1.3223724,-85.535065,1.1716857,0.14652878,0,0.29463148,3.9055483,21.154787,0.24673635,21.252474,0.49235234,21.086907999999998,0.72115266,23.249057999999998,5.2129525999999995,21.507298000000002,1.0640936,21.051903,0.26032013,20.552645000000002,0.347073,20.163582,0.09983355599999999,19.339025,0.055264376,21.8773,0.6469236999999999,19.946035000000002,0.25001037,20.321576999999998,0.28124679999999996,12.0,21.691212,0.18521939,21.031013,0.18731345,21.93415,0.699869,21.223425,0.36639306,21.555742000000002,0.49813333,21.381416,0.15944391,20.875372,0.21284735,20.446793,0.06093067,19.718393,0.038704786,21.423466,0.1907617,21.49335,0.45748714,20.477215,0.14510387,21.161678,0.18521939,20.47034,0.18731345,21.323086,0.699869,20.634404999999997,0.36639306,21.025705,0.49813333,20.886554999999998,0.15944391,20.390514000000003,0.21284735,19.940924,0.06093067,19.214382,0.038704786,21.037731,0.1907617,21.13291,0.45748714,20.08768,0.14510387,20.894714,22.719372,21.00039,99.0,21.891663,21.587357,20.762642,20.101264999999998,19.3293,21.58287,20.239254000000003,20.282879,0.23198254,2.2548254,0.7957395,20.317327,1.8273654,0.51190275,0.50590557,0.11204126,0.06452247,0.59605867,0.39378744,0.3273034
228,SPLUS-s32s39,iDR3.SPLUS-s32s39.040858,68.96018643744087,-41.13274138875781,1060.9559,7548.089,19,16.211226999999997,2.6234894,1.5853977,-50.164364,1.6547831000000002,0.39569122,2,0.7189174,5.087497,19.862392,0.11708312,19.22927,0.11961758,99.0,20.554039000000003,18.780521,0.12793183,99.0,20.740248,21.305017000000003,0.39260116,18.824286999999998,0.101389125,19.65213,0.08546502,18.138668,0.025596412000000002,19.244576000000002,0.09823748,17.553717000000002,0.048298087,20.308863,0.5447329000000001,10.0,23.000404,0.5089331,21.561598,0.25586095,99.0,21.592772,21.512081,0.38742357,21.393829999999998,0.34907940000000004,23.386457,0.6518781,20.710274,0.14846836,20.139977,0.03861983,19.241476000000002,0.023046477000000003,19.805984,0.04390805,18.591185,0.034883976000000004,23.062186999999998,1.6646032,22.370026,0.5089331,20.92801,0.25586095,99.0,20.998018,21.01813,0.38742357,20.952433,0.34907940000000004,22.988125,0.6518781,20.275505,0.14846836,19.698145,0.03861983,18.819907999999998,0.023046477000000003,19.42967,0.04390805,18.199835,0.034883976000000004,22.713728,1.6646032,20.150537,19.674837,99.0,19.094934,21.562777,21.837484,18.957348,19.692204,18.192438,19.339157,17.610676,20.543211,0.12564282,0.14773884,20.52621,0.14185263,1.337448,0.5304831999999999,0.09577788400000001,0.07327558,0.022695873,0.088938035,0.042511415,0.55881524
229,SPLUS-s27s43,iDR3.SPLUS-s27s43.012365,69.8881526124255,-35.23925645804542,971.8760000000001,3075.9556,20,16.578152,1.7028514,1.228157,85.14403,1.3865094999999998,0.27876443,1,0.37346724,3.8973307999999998,21.515894,0.30888936,21.409342000000002,0.5123457,21.429277,0.8887383,20.442514000000003,0.36916393,20.69795,0.47044006,22.05901,0.6051546999999999,19.761341,0.15785141,20.52179,0.1271787,18.599135999999998,0.02737815,20.119457,0.11925684,17.697124,0.031248777999999998,19.933619,0.18178037,12.0,22.565752,0.39452276,25.879635,14.922285999999998,22.857206,1.5917706,21.45274,0.45459357,22.021124,0.7666923000000001,21.434303,0.16891372,20.648787,0.17654268,20.844606,0.085979134,19.734852,0.03939018,20.577847,0.0900869,18.809433,0.043559637000000005,20.11553,0.10561434,22.03622,0.39452276,25.318962,14.922285999999998,22.24614,1.5917706,20.86372,0.45459357,21.491087,0.7666923000000001,20.939442,0.16891372,20.163929,0.17654268,20.338737,0.085979134,19.230839000000003,0.03939018,20.192111999999998,0.0900869,18.448994,0.043559637000000005,19.725996,0.10561434,21.312424,21.607914,21.278542,20.408852,20.350079,22.025326,19.675755,20.465567,18.487087,20.085426000000002,17.622147000000002,20.035501,0.29042616,0.6954906,0.8777011,0.4196485,0.40204564,0.68988883,0.17057522,0.13928168,0.028058695,0.13439971,0.033570547,0.23320805
230,SPLUS-s27s43,iDR3.SPLUS-s27s43.031578,68.21747211652334,-34.62452584437809,9936.908000000001,7100.8877,21,16.890376999999997,2.0193380000000003,1.6769458,-73.30451,1.204176,0.16955662,0,0.6515286,4.3624325,21.994826999999997,0.7147972,23.277613,4.2676997000000005,99.0,20.352299,21.455166000000002,1.4102576,99.0,20.320288,21.097767,0.38059783,21.911903,1.6906927,19.910051,0.10992013,18.539389,0.037264532999999996,19.548847,0.107556,18.934414,0.1378679,19.428555,0.17263375,10.0,99.0,22.749472,22.846006,0.9293565999999999,99.0,21.498535,22.240664000000002,0.93933326,22.052464999999998,0.80016774,22.246742,0.35503203,21.950325,0.5694505999999999,20.796629,0.08371421,19.2229,0.026934497,20.025597,0.05686029,19.726778,0.09559635,19.804123,0.08082334,99.0,22.21994,22.285335999999997,0.9293565999999999,99.0,20.887468,21.651644,0.93933326,21.522429000000002,0.80016774,21.75188,0.35503203,21.465466,0.5694505999999999,20.290760000000002,0.08371421,18.718887,0.026934497,19.639862,0.05686029,19.366339,0.09559635,19.414589000000003,0.08082334,22.120634,24.225904,99.0,21.520231,99.0,21.098361999999998,21.770315,19.901167,18.545944,19.53577,18.913229,19.411210999999998,0.7686293000000001,9.786189,20.305677,1.5020988000000002,20.333748,0.38208200000000003,1.489355,0.107856885,0.03709943,0.10638318,0.13434948,0.16878256
231,SPLUS-s31s40,iDR3.SPLUS-s31s40.023811,68.92951209068453,-40.13549189440109,3290.117,5509.1436,27,17.530247,2.3303312999999997,1.3694785,-41.712771999999994,1.7016195,0.41232455,0,0.00522197,8.611641,21.18573,0.29826665,20.963414999999998,0.44013768,21.595083,1.4469292999999999,20.053279999999997,0.36511484,20.672767999999998,0.5256002,20.617735,0.15267745,20.232666000000002,0.26708794,19.940208,0.08500709,19.097089999999998,0.046423122000000004,20.194288,0.17216846,19.359554,0.19881949,19.537461999999998,0.19232604,12.0,22.0609,0.23089999,22.245514,0.48406568,23.066833,1.864814,21.593775,0.50931835,22.324406,0.80289924,21.376317999999998,0.109107375,21.381937,0.26404570000000005,20.825832000000002,0.068875335,19.843472,0.036465153,20.701378,0.09460307,20.064989999999998,0.13001704,20.224562,0.12226660000000002,21.392494,0.23089999,21.546968,0.48406568,22.522282,1.864814,20.903095,0.50931835,21.811432,0.80289924,20.871319,0.109107375,20.891275,0.26404570000000005,20.289219,0.068875335,19.343002,0.036465153,20.267696,0.09460307,19.65121,0.13001704,19.807457,0.12226660000000002,21.10734,20.737835,22.15899,19.618748,20.39336,20.673513,20.544525,19.833712,19.0051,20.30128,19.194422,19.335258,0.36582002,0.47246635,3.2160797000000003,0.31596777,0.524512,0.20595639999999998,0.45596257,0.09930610000000001,0.054344222000000005,0.24301828,0.21871169,0.20469506
